2024-08-26 22:20:41,217 - DEBUG  - 2.00: Job 2 is being processed at the workstation s5-2.
2024-08-26 22:20:41,219 - DEBUG  - 3.00: Job 2 is being processed at the workstation s3-1.
2024-08-26 22:20:41,222 - DEBUG  - 4.00: Job 2 is being processed at the workstation s1-1.
2024-08-26 22:20:41,223 - DEBUG  - 4.36: Job 2 finished at workstation s1-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,254 - DEBUG  - 12.00: Job 20 is released with routing: ['s3-2', 's5-1'], process_times: [0.78  0.866]
2024-08-26 22:20:41,261 - DEBUG  - 13.73: Job 20 is being processed at the workstation s3-2.
2024-08-26 22:20:41,282 - DEBUG  - 18.70: Job 20 is being processed at the workstation s5-1.
2024-08-26 22:20:41,284 - DEBUG  - 19.57: Job 20 finished at workstation s5-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,272 - DEBUG  - 16.00: Job 21 is released with routing: ['s1-1', 's4-1', 's5-2', 's2-1'], process_times: [0.639 2.598 0.599 1.543]
2024-08-26 22:20:41,276 - DEBUG  - 17.36: Job 21 is being processed at the workstation s1-1.
2024-08-26 22:20:41,285 - DEBUG  - 19.67: Job 21 is being processed at the workstation s4-1.
2024-08-26 22:20:41,298 - DEBUG  - 22.96: Job 21 is being processed at the workstation s5-2.
2024-08-26 22:20:41,304 - DEBUG  - 24.24: Job 21 is being processed at the workstation s2-1.
2024-08-26 22:20:41,306 - DEBUG  - 25.78: Job 21 finished at workstation s2-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,313 - DEBUG  - 28.00: Job 22 is released with routing: ['s1-1', 's2-1'], process_times: [1.929 1.636]
2024-08-26 22:20:41,315 - DEBUG  - 28.21: Job 22 is being processed at the workstation s1-1.
2024-08-26 22:20:41,320 - DEBUG  - 30.95: Job 22 is being processed at the workstation s2-1.
2024-08-26 22:20:41,324 - DEBUG  - 32.58: Job 22 finished at workstation s2-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,265 - DEBUG  - 14.58: Job 23 is released with routing: ['s2-1', 's3-1'], process_times: [2.367 0.464]
